taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7505041	Allodiastylis Hale, 1936	7505041	Allodiastylis Hale, 1936	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Gynodiastylidae	5304	Allodiastylis	7505041			
2316792	Paralacydonia Fauvel, 1913	2316792	Paralacydonia Fauvel, 1913	10	GENUS	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Paralacydoniidae	3586	Paralacydonia	2316792			
2199527	Accalathura sehima Poore & Lew Ton, 1990	2199527	Accalathura sehima Poore & Lew Ton, 1990	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Leptanthuridae	5372	Accalathura	2199512	Accalathura sehima	2199527	
2211575	Munna Krøyer, 1839	2211575	Munna Krøyer, 1839	11	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Munnidae	5378	Munna	2211575			
6462796	Parharpinia villosus (Haswell, 1879)	6462796	Parharpinia villosus (Haswell, 1879)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Phoxocephalidae	8010	Parharpinia	4315436	Parharpinia villosus	6462796	
8116025	Prototrochus roniae O'Loughlin & MacIntosh, 2015	8116025	Prototrochus roniae O'Loughlin & MacIntosh, 2015	1	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Holothuroidea	222	Apodida	1481	Myriotrochidae	5615	Prototrochus	4877152	Prototrochus roniae	8116025	
4304269	Ausatelson J.L.Barnard, 1972	4304269	Ausatelson J.L.Barnard, 1972	10	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Stenothoidae	8016	Ausatelson	4304269			
2214398	Paradiastylis Calman, 1904	2214398	Paradiastylis Calman, 1904	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Diastylidae	9676	Paradiastylis	2214398			
2228341	Filitanais Kudinova-Pasternak, 1973	2228341	Filitanais Kudinova-Pasternak, 1973	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Colletteidae	8912	Filitanais	2228341			
2217266	Harpinia plumosa (Krøyer, 1842)	2217266	Harpinia plumosa (Krøyer, 1842)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Phoxocephalidae	8010	Harpinia	2217249	Harpinia plumosa	2217266	
2201685	Thaumastosoma Hessler, 1970	2201685	Thaumastosoma Hessler, 1970	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Nannoniscidae	8895	Thaumastosoma	2201685			
4807494	Neonesidea australis (Chapman, 1914)	4807494	Neonesidea australis (Chapman, 1914)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Podocopida	1438	Bairdiidae	5190	Neonesidea	1028857	Neonesidea australis	4807494	
